type,amount,category,description,date
income,4927.32,Bonus,Annual bonus,2024-03-11T11:10:00
expense,148.45,Rent,Electricity bill,2023-11-29T15:17:00
expense,182.05,Entertainment,Monthly rent,2023-07-11T14:42:00
income,3504.05,Salary,Annual bonus,2023-11-13T09:46:00
expense,436.47,Entertainment,,2024-12-04T18:32:00
expense,91.75,Transportation,,2023-04-03T13:40:00
expense,281.09,Rent,Doctor visit,2024-06-09T08:24:00
income,4109.21,Salary,Monthly salary,2024-03-08T23:24:00
income,4740.43,Bonus,,2024-03-04T07:54:00
expense,180.9,Food,Monthly rent,2024-10-14T12:29:00
expense,416.68,Utilities,Movie tickets,2023-06-04T08:14:00
expense,17.39,Misc,Monthly rent,2024-05-13T06:44:00
expense,224.67,Healthcare,Grocery shopping,2023-10-11T17:28:00
income,1225.2,Investment,Annual bonus,2023-06-12T22:29:00
expense,455.93,Healthcare,Doctor visit,2024-10-15T05:56:00
expense,208.2,Transportation,,2024-01-18T01:44:00
income,3563.65,Bonus,Monthly salary,2023-02-26T20:58:00
income,1808.77,Bonus,,2024-11-24T16:24:00
income,1998.23,Investment,Stock dividends,2024-06-04T16:23:00
income,3071.48,Bonus,,2024-09-09T05:21:00
expense,180.54,Transportation,Electricity bill,2023-10-10T12:02:00
expense,425.26,Transportation,Monthly rent,2024-10-20T21:52:00
expense,261.32,Transportation,Doctor visit,2023-07-31T11:40:00
income,3873.15,Gift,Birthday gift,2023-02-01T05:01:00
expense,211.79,Utilities,,2024-08-19T20:03:00
expense,487.1,Transportation,Electricity bill,2024-12-16T07:50:00
income,4423.69,Salary,Birthday gift,2023-12-09T20:14:00
income,707.18,Freelance,Birthday gift,2024-05-01T17:14:00
expense,182.48,Rent,Bus fare,2024-12-02T10:48:00
income,3734.03,Bonus,Monthly salary,2024-02-04T08:15:00
expense,415.84,Healthcare,Doctor visit,2024-06-15T02:45:00
expense,237.22,Transportation,Movie tickets,2024-08-26T06:02:00
expense,419.69,Entertainment,Grocery shopping,2024-06-04T18:13:00
income,2559.47,Salary,Stock dividends,2024-01-13T09:17:00
income,901.18,Gift,,2023-08-24T22:26:00
expense,215.22,Entertainment,Bus fare,2023-11-27T20:28:00
income,2935.94,Freelance,Birthday gift,2024-12-18T18:57:00
expense,134.61,Utilities,Monthly rent,2024-07-20T00:30:00
expense,89.73,Healthcare,Grocery shopping,2023-11-20T15:08:00
expense,79.94,Entertainment,Monthly rent,2024-01-02T00:05:00
expense,373.82,Utilities,Grocery shopping,2024-06-08T00:18:00
expense,481.98,Misc,Doctor visit,2024-02-10T17:22:00
income,3010.63,Investment,Project payment,2023-07-21T05:32:00
expense,269.16,Food,Movie tickets,2023-01-04T00:09:00
income,4218.47,Bonus,Project payment,2023-07-15T09:41:00
income,3294.49,Investment,Stock dividends,2024-08-08T01:45:00
income,1099.53,Investment,Birthday gift,2023-07-18T07:26:00
income,826.9,Gift,Birthday gift,2023-10-12T15:43:00
expense,176.3,Transportation,Movie tickets,2023-06-21T20:54:00
income,3664.55,Investment,Annual bonus,2023-11-25T05:54:00
income,3642.45,Freelance,Monthly salary,2024-03-14T01:14:00
expense,135.84,Misc,Monthly rent,2024-06-15T22:52:00
expense,42.22,Rent,,2023-12-24T07:19:00
income,3552.86,Investment,Stock dividends,2024-01-14T19:36:00
expense,27.19,Rent,,2023-01-10T15:50:00
expense,144.91,Healthcare,Grocery shopping,2023-01-22T17:26:00
expense,347.49,Healthcare,Doctor visit,2023-12-15T15:26:00
expense,188.04,Healthcare,,2023-08-31T18:33:00
expense,363.7,Rent,Monthly rent,2023-04-17T00:38:00
expense,50.49,Transportation,Monthly rent,2023-11-21T02:08:00
income,895.29,Gift,Project payment,2023-04-13T23:55:00
expense,355.27,Food,Electricity bill,2024-04-24T00:22:00
income,1301.94,Salary,,2023-05-23T12:38:00
expense,196.87,Food,Movie tickets,2024-02-11T04:50:00
income,1171.98,Investment,Monthly salary,2024-05-15T05:29:00
income,2737.01,Bonus,Annual bonus,2024-01-27T14:29:00
expense,146.17,Healthcare,Monthly rent,2024-05-06T12:24:00
income,3031.63,Salary,Annual bonus,2023-03-23T05:50:00
expense,371.89,Entertainment,Grocery shopping,2024-09-12T16:40:00
income,3045.49,Salary,,2024-11-01T11:52:00
income,706.37,Salary,Monthly salary,2023-08-22T20:17:00
income,1831.05,Freelance,Birthday gift,2024-08-23T11:49:00
income,4267.63,Salary,Project payment,2024-07-08T07:05:00
expense,401.35,Food,Movie tickets,2024-10-16T18:04:00
income,2008.77,Bonus,Project payment,2024-07-26T06:59:00
expense,95.74,Misc,Electricity bill,2023-02-22T19:27:00
expense,251.08,Transportation,,2023-08-18T20:25:00
expense,55.27,Healthcare,,2023-01-04T15:50:00
expense,76.97,Entertainment,Bus fare,2024-04-15T17:35:00
income,4177.97,Investment,Birthday gift,2023-05-12T04:52:00
expense,419.21,Rent,,2023-03-15T12:34:00
income,2702.79,Salary,Stock dividends,2024-11-03T22:28:00
expense,478.08,Utilities,Bus fare,2023-11-22T20:54:00
expense,105.82,Utilities,Doctor visit,2023-01-14T02:36:00
income,3442.92,Investment,Project payment,2024-07-20T23:56:00
income,4637.47,Gift,Monthly salary,2024-01-21T18:50:00
expense,481.13,Food,Movie tickets,2024-11-29T22:55:00
income,3733.42,Freelance,Project payment,2024-08-15T00:46:00
income,3716.46,Salary,Annual bonus,2023-12-06T21:15:00
income,4183.19,Freelance,Annual bonus,2023-11-23T19:45:00
expense,357.43,Rent,Bus fare,2023-12-20T00:54:00
expense,179.41,Utilities,Bus fare,2023-06-19T00:06:00
expense,97.44,Entertainment,Movie tickets,2024-01-01T04:44:00
income,2877.7,Freelance,,2023-02-27T16:05:00
income,4852.58,Salary,Monthly salary,2023-07-09T03:25:00
expense,275.93,Food,Movie tickets,2024-12-15T17:00:00
income,1586.29,Salary,Birthday gift,2023-02-15T02:56:00
income,2038.88,Freelance,,2024-05-15T00:00:00
income,3112.07,Bonus,Birthday gift,2023-08-28T13:36:00
expense,184.89,Utilities,Doctor visit,2024-12-31T14:35:00
income,3104.66,Bonus,Birthday gift,2024-05-02T05:07:00
expense,264.94,Entertainment,Monthly rent,2023-02-22T01:25:00
income,1434.67,Freelance,Birthday gift,2024-06-10T23:50:00
income,4548.71,Salary,,2024-04-21T17:25:00
income,2354.93,Freelance,Monthly salary,2024-05-05T18:52:00
expense,402.52,Food,Grocery shopping,2024-11-15T18:45:00
income,2410.47,Freelance,Birthday gift,2023-06-11T15:51:00
income,3247.33,Freelance,,2023-11-27T20:53:00
expense,319.61,Entertainment,Bus fare,2023-11-11T05:44:00
income,2510.73,Salary,Birthday gift,2024-04-23T01:58:00
income,2946.29,Salary,Monthly salary,2024-01-11T20:09:00
expense,274.17,Utilities,Doctor visit,2023-06-16T04:03:00
expense,75.86,Misc,Movie tickets,2023-05-03T06:42:00
expense,113.14,Rent,Monthly rent,2024-01-08T03:55:00
expense,302.7,Entertainment,Electricity bill,2023-10-27T05:22:00
expense,189.09,Rent,Grocery shopping,2023-11-13T05:03:00
income,2188.75,Freelance,Project payment,2023-05-07T04:40:00
expense,221.31,Rent,Electricity bill,2024-07-08T13:05:00
expense,41.02,Healthcare,Bus fare,2023-12-29T14:34:00
income,3633.95,Gift,Birthday gift,2023-03-01T00:41:00
expense,199.52,Transportation,Electricity bill,2023-11-12T10:05:00
income,3133.15,Salary,Stock dividends,2023-08-16T02:57:00
expense,339.56,Entertainment,Doctor visit,2024-07-31T13:34:00
income,2191.02,Gift,Stock dividends,2024-12-27T09:36:00
expense,482.79,Rent,Doctor visit,2024-10-17T11:51:00
expense,241.9,Misc,Bus fare,2024-08-01T14:45:00
income,2182.87,Salary,Birthday gift,2023-02-23T03:39:00
expense,261.39,Rent,Doctor visit,2023-11-26T20:25:00
income,4091.4,Gift,Stock dividends,2024-08-06T22:36:00
expense,216.72,Misc,Grocery shopping,2023-11-17T04:03:00
expense,339.27,Healthcare,Bus fare,2023-10-17T06:10:00
expense,156.06,Misc,Doctor visit,2024-08-10T12:37:00
expense,450.41,Entertainment,Bus fare,2023-02-05T03:58:00
income,2649.59,Bonus,Annual bonus,2023-12-29T11:01:00
expense,364.53,Entertainment,Bus fare,2023-09-30T18:01:00
expense,301.03,Rent,Grocery shopping,2023-09-30T14:19:00
income,501.21,Gift,Project payment,2023-03-24T07:42:00
income,3555.55,Gift,Project payment,2023-08-19T02:38:00
income,2711.79,Bonus,Birthday gift,2024-03-19T04:54:00
expense,431.94,Utilities,Doctor visit,2024-11-27T14:16:00
income,886.78,Investment,Monthly salary,2023-05-11T15:32:00
income,4566.21,Investment,Project payment,2023-09-25T03:32:00
expense,60.57,Utilities,Bus fare,2024-03-24T08:32:00
income,1634.82,Gift,Stock dividends,2023-09-17T22:41:00
expense,42.92,Entertainment,,2024-03-06T07:07:00
expense,13.58,Utilities,Electricity bill,2023-02-10T12:44:00
expense,270.9,Rent,Doctor visit,2024-09-11T14:34:00
expense,124.22,Transportation,Movie tickets,2023-05-09T07:58:00
expense,466.96,Food,Bus fare,2024-01-19T12:45:00
expense,312.64,Food,Monthly rent,2023-11-05T12:17:00
expense,182.12,Entertainment,Movie tickets,2024-08-12T22:08:00
income,4472.59,Investment,Monthly salary,2024-02-10T00:20:00
income,4538.36,Investment,,2024-08-24T15:56:00
income,3103.32,Bonus,,2023-07-17T10:40:00
income,629.45,Freelance,Birthday gift,2023-12-29T06:20:00
income,2517.58,Investment,,2024-11-22T23:50:00
income,1284.9,Salary,Stock dividends,2023-01-14T18:09:00
expense,458.57,Misc,Movie tickets,2024-01-09T18:14:00
income,3165.54,Gift,,2023-02-09T10:51:00
income,4977.52,Gift,Stock dividends,2023-04-07T01:11:00
income,1424.04,Freelance,Stock dividends,2023-01-05T20:57:00
income,4646.89,Bonus,,2023-10-21T01:17:00
expense,375.13,Transportation,,2024-09-05T23:38:00
income,960.75,Freelance,Birthday gift,2024-04-09T15:09:00
income,1676.2,Salary,Monthly salary,2024-11-13T17:41:00
income,3893.77,Freelance,,2024-04-18T12:02:00
income,4131.92,Gift,Annual bonus,2023-01-12T05:00:00
expense,63.42,Food,Grocery shopping,2023-04-01T08:50:00
expense,215.54,Healthcare,Movie tickets,2023-05-13T12:19:00
income,3893.07,Bonus,Birthday gift,2024-07-24T01:17:00
income,1052.82,Salary,Project payment,2024-04-04T16:18:00
expense,482.14,Rent,Electricity bill,2024-08-07T00:11:00
income,2082.82,Gift,Project payment,2023-09-26T21:55:00
income,1989.15,Investment,Birthday gift,2023-10-25T09:19:00
income,2471.32,Freelance,,2024-12-09T10:35:00
expense,433.13,Entertainment,Grocery shopping,2024-12-09T13:44:00
income,2583.21,Salary,Annual bonus,2023-12-12T18:45:00
income,4092.39,Salary,Birthday gift,2023-07-25T23:42:00
income,2492.8,Salary,Monthly salary,2024-02-07T12:36:00
expense,67.9,Healthcare,Bus fare,2024-08-24T01:06:00
income,3903.41,Investment,,2023-04-09T09:14:00
expense,229.99,Transportation,Grocery shopping,2023-08-17T01:06:00
income,4405.03,Investment,Project payment,2024-04-26T01:09:00
expense,107.37,Transportation,Electricity bill,2024-08-04T07:31:00
income,2531.76,Freelance,Stock dividends,2024-12-10T13:19:00
income,648.75,Freelance,Birthday gift,2023-12-18T12:38:00
income,2191.17,Freelance,,2024-09-15T07:46:00
income,1461.88,Salary,Stock dividends,2023-11-03T10:24:00
expense,315.67,Rent,Bus fare,2023-03-29T01:57:00
income,931.8,Salary,Monthly salary,2024-11-11T20:01:00
expense,107.24,Food,Monthly rent,2023-10-02T03:48:00
expense,351.43,Rent,Bus fare,2024-10-18T09:52:00
income,2843.05,Investment,Stock dividends,2024-03-12T19:12:00
expense,33.72,Healthcare,Grocery shopping,2024-09-26T05:18:00
expense,52.97,Utilities,Bus fare,2023-01-10T10:11:00
income,1667.81,Bonus,,2024-03-27T08:46:00
income,3536.64,Investment,Annual bonus,2024-04-16T10:54:00
expense,447.46,Utilities,Doctor visit,2023-04-17T14:54:00
income,4489.09,Freelance,,2024-04-21T17:50:00
income,4082.33,Bonus,,2023-11-08T12:26:00
expense,200.05,Transportation,Electricity bill,2023-02-07T23:06:00
expense,31.21,Misc,Bus fare,2023-01-16T09:37:00
expense,237.87,Transportation,Movie tickets,2023-10-09T03:36:00
income,4480.15,Investment,Stock dividends,2024-08-23T14:38:00
income,2444.06,Freelance,Stock dividends,2023-01-13T05:25:00
income,2215.22,Investment,Annual bonus,2024-04-16T10:34:00
expense,475.72,Misc,Monthly rent,2023-01-15T22:50:00
expense,393.7,Food,Grocery shopping,2024-01-19T04:42:00
expense,153.53,Rent,Monthly rent,2023-01-31T19:11:00
expense,471.13,Misc,Grocery shopping,2023-02-12T12:45:00
income,2791.36,Freelance,,2023-10-05T17:52:00
income,2283.59,Freelance,Annual bonus,2024-07-29T14:47:00
expense,297.25,Entertainment,Bus fare,2024-06-26T00:40:00
income,4164.51,Bonus,Birthday gift,2023-01-19T20:02:00
income,3948.76,Bonus,Annual bonus,2024-10-14T07:26:00
income,4367.12,Salary,Annual bonus,2023-02-27T06:30:00
income,3866.9,Bonus,Birthday gift,2023-02-10T05:47:00
expense,392.77,Misc,Movie tickets,2023-04-27T03:12:00
income,4431.42,Investment,Birthday gift,2023-05-31T11:26:00
expense,370.23,Healthcare,Monthly rent,2023-01-07T23:46:00
income,3697.62,Freelance,Project payment,2024-09-15T00:05:00
expense,395.69,Entertainment,Monthly rent,2023-06-06T13:25:00
income,2058.99,Salary,Monthly salary,2024-07-27T04:16:00
income,2228.71,Freelance,Project payment,2023-05-19T02:30:00
expense,461.2,Healthcare,Doctor visit,2024-10-26T06:28:00
income,2804.48,Freelance,Project payment,2024-07-26T20:30:00
expense,376.43,Entertainment,Electricity bill,2024-04-02T22:34:00
expense,329.21,Rent,Movie tickets,2023-04-25T21:19:00
income,4634.95,Freelance,Monthly salary,2023-08-16T08:05:00
income,4569.45,Salary,,2024-02-02T15:50:00
income,1421.15,Bonus,Annual bonus,2023-06-07T08:31:00
expense,492.55,Misc,Doctor visit,2024-04-23T01:20:00
expense,332.96,Healthcare,Bus fare,2023-02-08T03:25:00
expense,328.45,Transportation,Monthly rent,2024-12-02T22:43:00
income,4276.11,Freelance,Project payment,2024-08-27T19:48:00
income,1490.56,Bonus,Project payment,2023-11-29T22:31:00
income,4804.26,Gift,Stock dividends,2024-08-19T17:14:00
expense,499.97,Rent,Grocery shopping,2024-10-17T15:49:00
expense,233.06,Misc,Grocery shopping,2023-12-02T09:37:00
expense,464.06,Misc,Grocery shopping,2023-06-03T03:55:00
income,3030.32,Salary,Project payment,2023-10-05T10:43:00
income,2574.03,Salary,Monthly salary,2023-05-27T11:09:00
expense,90.96,Food,,2023-04-11T06:27:00
expense,333.65,Transportation,Movie tickets,2024-05-07T11:27:00
expense,76.4,Entertainment,Electricity bill,2023-11-10T08:55:00
income,608.59,Salary,Project payment,2024-09-14T14:52:00
expense,315.62,Rent,Doctor visit,2024-02-04T11:58:00
expense,43.32,Healthcare,Bus fare,2024-12-23T18:01:00
expense,132.85,Entertainment,Movie tickets,2024-10-30T09:52:00
income,1999.2,Freelance,Annual bonus,2023-02-21T06:03:00
expense,331.14,Rent,Grocery shopping,2023-10-17T17:45:00
expense,311.01,Entertainment,Doctor visit,2024-12-09T22:06:00
income,4780.1,Salary,,2023-01-30T01:01:00
expense,137.41,Misc,Electricity bill,2024-03-13T15:38:00
expense,402.97,Food,Electricity bill,2023-04-17T12:00:00
income,2383.22,Gift,,2024-08-08T12:12:00
expense,305.98,Food,Doctor visit,2024-08-03T12:24:00
expense,125.38,Transportation,Monthly rent,2024-06-25T10:54:00
income,4551.22,Gift,Monthly salary,2023-09-14T01:11:00
income,530.29,Bonus,Birthday gift,2023-04-13T16:11:00
income,4517.74,Salary,Stock dividends,2024-05-12T05:05:00
expense,346.23,Rent,Monthly rent,2023-11-05T01:02:00
income,2064.18,Salary,Monthly salary,2023-09-01T22:10:00
expense,254.94,Rent,Movie tickets,2024-06-12T21:22:00
expense,6.16,Transportation,Grocery shopping,2023-12-28T14:51:00
expense,151.27,Transportation,Grocery shopping,2023-02-02T07:34:00
expense,94.49,Healthcare,Electricity bill,2024-06-09T15:25:00
expense,135.49,Misc,Movie tickets,2023-03-30T03:30:00
income,1549.2,Investment,Monthly salary,2024-03-25T02:41:00
income,3473.55,Investment,Birthday gift,2024-06-24T17:48:00
income,1007.96,Bonus,,2023-06-07T01:21:00
expense,252.96,Rent,Doctor visit,2024-12-08T19:14:00
income,4133.02,Investment,Monthly salary,2023-11-20T22:29:00
income,4863.77,Investment,Project payment,2023-10-09T02:07:00
income,3624.23,Gift,Monthly salary,2023-09-18T07:41:00
expense,379.86,Food,Electricity bill,2024-11-19T08:26:00
expense,167.42,Healthcare,Doctor visit,2024-05-06T11:23:00
expense,135.5,Misc,Grocery shopping,2023-11-28T18:41:00
income,4200.39,Gift,Project payment,2023-05-14T06:47:00
expense,53.18,Entertainment,Bus fare,2023-07-11T08:02:00
income,3923.14,Investment,Monthly salary,2024-04-20T04:43:00
expense,467.18,Entertainment,Movie tickets,2024-05-11T02:05:00
expense,286.36,Transportation,Grocery shopping,2023-05-03T07:48:00
expense,387.31,Food,Monthly rent,2023-04-27T21:03:00
expense,412.75,Food,,2023-04-21T00:30:00
expense,452.72,Healthcare,Electricity bill,2024-01-13T04:07:00
income,4857.48,Investment,Stock dividends,2023-12-06T17:23:00
expense,262.13,Healthcare,,2024-02-07T12:25:00
income,1922.69,Freelance,Birthday gift,2024-10-09T03:08:00
income,2408.53,Salary,Monthly salary,2024-06-30T13:31:00
income,1403.12,Gift,Project payment,2023-04-05T04:05:00
expense,136.37,Transportation,,2023-11-14T13:15:00
expense,139.7,Entertainment,Doctor visit,2024-05-03T12:23:00
income,4400.37,Salary,Monthly salary,2023-03-21T01:54:00
income,2371.93,Investment,,2024-02-19T18:50:00
expense,378.73,Entertainment,Electricity bill,2024-08-18T07:57:00
income,1502.71,Salary,Birthday gift,2024-01-15T21:23:00
income,2954.55,Salary,Birthday gift,2023-02-18T12:34:00
expense,120.68,Transportation,Doctor visit,2024-12-15T11:18:00
expense,140.92,Rent,Monthly rent,2024-05-12T11:14:00
income,4534.82,Bonus,Monthly salary,2023-03-17T16:19:00
expense,165.72,Misc,,2024-07-22T15:09:00
expense,454.83,Misc,Doctor visit,2024-04-27T20:51:00
expense,395.42,Utilities,Monthly rent,2024-02-22T15:35:00
income,4688.35,Salary,Stock dividends,2023-11-05T08:48:00
expense,255.56,Transportation,Movie tickets,2023-04-24T01:04:00
income,2857.89,Salary,Stock dividends,2024-06-20T14:36:00
expense,26.16,Food,Bus fare,2024-09-15T07:27:00
expense,259.09,Food,Electricity bill,2024-11-06T17:00:00
income,2286.26,Gift,Stock dividends,2024-06-06T11:38:00
expense,121.2,Transportation,Doctor visit,2023-07-07T04:57:00
income,2526.02,Gift,Project payment,2024-11-01T13:52:00
expense,53.73,Transportation,Monthly rent,2023-07-14T23:29:00
income,4894.18,Gift,Annual bonus,2023-12-08T03:02:00
expense,279.94,Food,Grocery shopping,2023-11-26T01:19:00
income,2575.38,Freelance,Project payment,2023-03-28T05:52:00
expense,210.74,Food,Monthly rent,2024-12-29T03:59:00
income,2098.06,Gift,Project payment,2023-12-17T17:25:00
income,1816.46,Investment,,2024-05-03T17:22:00
income,3893.52,Investment,Project payment,2023-10-18T07:20:00
income,4110.02,Bonus,Monthly salary,2023-11-11T07:30:00
expense,295.43,Healthcare,Bus fare,2023-04-05T21:52:00
income,2311.91,Salary,Stock dividends,2023-06-28T06:14:00
expense,287.12,Food,Grocery shopping,2023-07-04T02:19:00
expense,127.36,Misc,,2024-08-01T15:38:00
income,3320.9,Investment,Monthly salary,2023-03-30T08:25:00
income,2622.04,Salary,Annual bonus,2024-07-02T02:28:00
income,4340.99,Investment,Annual bonus,2023-06-16T01:33:00
expense,233.06,Food,Movie tickets,2023-11-24T19:07:00
expense,442.57,Utilities,Monthly rent,2024-05-14T05:07:00
income,4734.67,Salary,,2024-03-13T04:19:00
income,1892.07,Investment,Project payment,2024-10-10T20:25:00
expense,24.48,Misc,Monthly rent,2024-06-22T07:19:00
income,4467.33,Salary,Stock dividends,2024-10-15T01:47:00
income,1532.15,Freelance,,2024-06-22T06:22:00
expense,130.64,Rent,Monthly rent,2023-10-11T02:23:00
expense,55.35,Entertainment,Bus fare,2023-12-25T06:42:00
income,4949.98,Investment,Stock dividends,2023-07-08T10:45:00
expense,441.76,Rent,Monthly rent,2024-03-28T10:24:00
expense,426.78,Transportation,Movie tickets,2023-04-10T20:03:00
expense,81.83,Rent,Bus fare,2024-12-13T11:06:00
income,4770.41,Freelance,Annual bonus,2024-09-27T11:34:00
expense,71.6,Transportation,Grocery shopping,2023-09-11T05:08:00
income,2400.66,Gift,Project payment,2024-02-24T06:00:00
expense,348.58,Healthcare,,2024-07-23T05:00:00
income,3491.3,Salary,Annual bonus,2023-10-25T20:14:00
income,982.15,Gift,Annual bonus,2024-04-28T09:21:00
expense,188.46,Entertainment,Monthly rent,2023-10-09T07:18:00
income,4179.83,Gift,Stock dividends,2023-07-19T21:46:00
income,4694.9,Investment,,2024-06-09T09:19:00
expense,14.47,Entertainment,Doctor visit,2023-06-01T03:47:00
income,2856.36,Salary,Monthly salary,2023-08-25T08:46:00
income,3126.62,Bonus,Project payment,2024-07-28T11:42:00
income,1223.66,Salary,Annual bonus,2024-04-24T19:43:00
income,3298.81,Bonus,Birthday gift,2023-05-20T20:00:00
expense,179.88,Misc,Monthly rent,2024-06-05T11:01:00
expense,299.38,Entertainment,Bus fare,2024-01-31T03:29:00
expense,99.46,Transportation,Electricity bill,2024-05-24T22:27:00
expense,302.63,Rent,Monthly rent,2024-10-18T03:35:00
income,2637.37,Investment,Birthday gift,2023-11-11T06:37:00
income,3967.68,Bonus,Project payment,2024-10-06T06:38:00
income,3538.45,Freelance,Monthly salary,2023-10-17T10:12:00
income,2304.75,Bonus,,2023-12-11T04:37:00
income,3729.74,Gift,Stock dividends,2024-07-11T15:47:00
expense,31.19,Utilities,Bus fare,2024-12-02T02:17:00
expense,492.87,Misc,Bus fare,2024-09-21T13:45:00
income,1610.43,Salary,Project payment,2023-07-27T21:59:00
income,3139.36,Bonus,Stock dividends,2024-06-11T18:47:00
income,3974.29,Investment,Monthly salary,2024-01-13T01:21:00
expense,224.97,Healthcare,Electricity bill,2023-12-10T11:39:00
income,4722.56,Investment,Project payment,2023-08-24T05:10:00
income,3122.13,Gift,Monthly salary,2023-01-31T04:08:00
income,4065.36,Salary,,2023-10-30T08:16:00
expense,314.67,Misc,Electricity bill,2023-07-16T00:19:00
income,793.04,Salary,Project payment,2023-12-30T06:45:00
income,2395.24,Bonus,Annual bonus,2024-04-30T19:25:00
income,1047.08,Gift,Monthly salary,2024-05-11T03:23:00
income,973.7,Salary,Stock dividends,2023-03-05T07:18:00
income,3286.74,Gift,Annual bonus,2023-01-21T05:13:00
income,3481.13,Salary,Project payment,2023-11-20T00:58:00
income,4528.57,Investment,Monthly salary,2024-08-17T15:08:00
expense,118.28,Entertainment,Movie tickets,2023-10-30T09:16:00
income,4493.17,Gift,Project payment,2023-11-20T03:49:00
expense,152.48,Food,Grocery shopping,2024-08-31T03:31:00
expense,263.1,Utilities,Movie tickets,2023-01-03T14:14:00
income,1172.54,Freelance,Annual bonus,2023-02-15T02:49:00
income,2169.77,Gift,Stock dividends,2024-05-30T22:12:00
income,1334.64,Freelance,Monthly salary,2024-08-11T01:19:00
expense,40.48,Rent,Movie tickets,2023-03-30T21:57:00
expense,267.82,Rent,Movie tickets,2023-03-15T19:00:00
income,3767.16,Salary,Project payment,2023-09-12T09:04:00
income,3195.66,Investment,,2023-05-20T20:34:00
income,3914.14,Salary,Stock dividends,2023-09-23T01:28:00
expense,122.75,Food,Electricity bill,2024-09-30T10:48:00
income,1125.0,Gift,Project payment,2024-07-31T12:07:00
expense,38.32,Entertainment,Movie tickets,2024-01-25T20:11:00
income,2429.13,Salary,Project payment,2024-12-26T13:39:00
income,2196.08,Bonus,Stock dividends,2024-03-26T07:42:00
income,988.03,Gift,Stock dividends,2023-05-27T13:38:00
